gers_id,name,brand_token,latitude,longitude,city,state,tier,matched_opis_id,matched_name,matched_geocode_precision,distance_mi,decision,reason
02f525bb-b807-45d0-81a2-f15bb9658d1f,ARCO,,34.22382732,-117.40340904,San Bernardino,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02fdbe80-bb6b-4221-a401-4dd450f8c4c2,Speedway,,33.59773510,-117.24339870,Wildomar,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02fe2695-ecc6-4ca6-ab34-c352ac126811,Shell,,37.77016852,-120.83826970,Oakdale,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
02ff49b1-fe29-41de-9e0b-0918a17b9568,Mobil,,33.93558720,-118.09022368,Santa Fe Springs,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
030a0457-ab45-4d37-b25b-35012c6338ff,Shell,,34.36787296,-118.50952605,Newhall,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03158d94-70d1-43a7-a5db-870baa91d41c,All American Gas,,37.63104300,-122.07791900,Hayward,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03182b6a-a9ee-47f8-9902-0f42b64dc6e6,Top Fuel,,32.60704214,-117.06610319,Chula Vista,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
032322e1-3e3e-4f18-a8b4-234c48a68827,Shell,,42.69529903,-123.39495605,Wolf Creek,OR,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03255f6c-e516-4391-ac19-b743b8ae0cc8,Gateway Gas,,38.00843933,-122.54529507,San Rafael,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0338d24d-d35d-41c5-9896-46cc36eb3050,Chevron Station Livermore,,37.70008760,-121.74146330,Livermore,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0339dbfb-99fd-4a40-b508-edff66f3c31f,Chevron,,34.10774871,-117.19443951,Highland,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
0356adb9-25b5-4e7c-8d84-063969258aa6,ARCO,,38.33514567,-121.98482491,Vacaville,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
035cc684-c842-4fa2-8817-efb36de007ce,Power Market,,42.34946823,-122.87371063,Medford,OR,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
035e89ff-79ba-4713-81dc-7043ed9c5c5f,G&M,,33.77577051,-118.15264379,Long Beach,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
036a734b-f93c-45a0-9614-3a001c4ea132,Chevron,,33.55468757,-116.67984193,Idyllwild,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
037584ef-061c-45fe-8981-578f60e321b2,Chevron,,41.00750210,-121.43687930,FALL RIVER MILLS,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
037d225b-bc2a-4998-846a-268424e58012,NEX Autoport,,36.59920000,-121.87301750,Monterey,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
039219d0-7297-43cb-944d-fb2990a9c981,76,,34.06278400,-117.69789900,Montclair,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
039a7c09-dd3b-4f8f-807c-f5a528e71bb8,Mobil,,34.00409687,-118.27866490,Los Angeles,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
039cd621-0603-4e48-9d96-9427f021c267,Shell,,37.53321775,-122.32794760,San Mateo,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03a62e56-30cd-4a2a-8923-14618ccb5487,Shell,,33.74825348,-116.88470878,Hemet,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03d4d251-1a39-402c-9837-17a6ea39eece,Chevron,,37.35248534,-122.05162616,Sunnyvale,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03dccb71-b733-43fe-bb88-48e96d04b203,76,,33.84598562,-118.03761931,La Palma,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03de13ed-dfb3-4eab-a3d4-d2a72811689e,Chevron Station Saugus,,34.42224900,-118.54073700,Saugus,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
03e402eb-3504-4217-a24f-e60ac382f798,Chevron,,37.76279305,-122.43462423,San Francisco,CA,tight,,,,,kept,no rooftop candidate found within the search radius; brand token is None so the city tier does not apply
